Comment,score,time_data
谢谢老师，听完全部课程，觉得太好了，马上准备行动，遗憾的是咋没早点听这个课呢？之前浪费了多少时间啊！,5,2018-03-15
进来报名了， 就要学到底， 这是一门好课程。,5,2018-03-15
老师讲解很透彻，很不错,5,2018-03-15
嵩老师讲得非常好。,5,2018-03-14
很好，很棒，很强大,5,2018-03-14
学到新的东西啦，很值,5,2018-03-14
很好很开心,5,2018-03-14
good!!!!!!!!!,5,2018-03-14
感觉讲的不错， 挺好的， 值得高评分。,5,2018-03-15
老师讲的很好！！！很耐心,5,2018-03-15
老师讲得很棒，语速措辞都很专业。,5,2018-03-15
老师讲的很好，深入浅出，举例多，很实用，,5,2018-03-15
挺棒的，我可能作为一名计算机专业的学生，我要好好坚持下去……,5,2018-03-15
就是太少了，不过都是精华。希望越来越多的课程出现。,5,2018-03-15
课程通俗易懂，结构严谨，老师讲解清晰，效果很好！,5,2018-03-15
很棒~很细致~,5,2018-03-15
花了一些时间听完了对PYTHON 的介绍，这课程感觉听 的 的太值了！谢谢嵩老师！支持！赞！！,5,2018-03-15
一口气全听完了，很少听课能听的这么过瘾！！！,5,2018-03-15
这个课程挺适合入门的教学，从无到有，同时也对各种概念讲解的比较透彻。,4,2018-03-15
之前学过一点C语言，再看Python真的觉得设计的很巧妙，课程设计也是由浅入深，给人一种打开了新世界的大门的感觉,5,2018-03-15
作为零基础的学员太说，信息量还是觉得大了点。,5,2018-03-15
行动十坚持确实比天赋更重要，在未来的日子里，愿自己的计算机编程能力 脱颖而出！,5,2018-03-15
相见恨晚的感觉。本人计算机专业，就是学的少，加油吧！,5,2018-03-15
老师講的很好 很棒，对自己的英语提高有很大的信心,5,2018-03-15
反复多看几次，会有收获的,5,2018-03-15
觉得挺有趣哈！,5,2018-03-15
简单通俗，很容易上手。感觉不错，下次有课还会来听。,5,2018-03-15
老师很儒雅，课程很贴近初学者的思维，很喜欢,5,2018-03-15
有趣，老师的视频用心了,4,2018-03-15
特别好！！！！,5,2018-03-15
非常适合编程小白,5,2018-03-15
学习流行技术,5,2018-03-15
我觉得内容比较新的，讲课的语调和语速都很好。,5,2018-03-15
简单好学！,5,2018-03-15
课程简洁，学习效率很高，感觉入手很容易！谢谢老师！,5,2018-03-15
教学系统设计得很完善。,5,2018-03-15
很感谢！遇到嵩老师是好运气，我现在按你的方法学习PYTHON ，因此重拾的信心（这是最重要的）。 羞愧地说，我本来就是计算机专业的学生，但在大学期间，我那时是越来越讨厌编程。 也许是本来就有基础，现在按嵩老师的方法，感觉事半功倍。谢谢嵩老师的分享,5,2018-03-15
"课程不能讲究循序渐进，看得出来被删减了很多，不知道为什么要删减内容，就是为了让课程时间更少？对于学生，更少的课程时间换来的是课下自己的更多倍时间的学习，得不偿失,两个女老师读课件读的很好，读课件给5分！",1,2018-02-24
老师讲的很细致,5,2018-03-15
这是一个很棒的python入门课程，能够面对0基础的很难得的开课思维。,5,2018-03-14
老师讲的很细致,5,2018-03-15
很满意，有视频就满意了，更何况还分了小目录！,5,2018-03-15
每个教学视频都非常短，适合把零散时间充分利用起来。老师教课也很仔细，言简意赅的表达了相关概念。,5,2018-03-14
刚开始学习，零基础，希望能通过课程发现一个新世界。,5,2018-03-15
很基础，讲得很好，有条理。,5,2018-03-14
嵩天老师讲 的挺好的，适合初学者,5,2018-03-14
北理嵩天老师的python课，浙大翁恺老师的C与Java课都挺好的，他们都是由浅入深的将编程将给学生，让学生最开始不会畏惧编程从而觉得编程很难（虽然是有点难吧），让所听他们讲课的学生几乎都能听懂，当之无愧的好老师。他们知道如何将自己的编程知识如何教给并教会学生，希望慕课上能多一些这样的好老师，现实教学中也能多一些这样的好老师，而不是忙于科研与职称，不研究教学手段与方法，这样即使自身具有很高的知识容量，可能懂的学生却没有多少，所谓老师，最初的目的不就是教书育...,5,2019-08-08
听了嵩老师的前半部分课程后，编程水平可能不会有明显提高，但是对PYTHON的学习已经不再恐惧了。嵩老师推荐的学习方法和学习教材我个人感觉超级好（最起码比学校的课本要好）。常感谢嵩老师，不论我在以后在编程上是否能学有所成，学有所用。,5,2018-03-15
评分有问题,2,2018-02-05
重在坚持，方法论给了，实践还是要自己去学习，苦于不能坚持，老师的方法没毛病。实践是检验学习的基础,5,2018-03-15
目前见过质量最高的Python教学视频。,5,2018-03-14
课程安排的很好，不知不觉中就学完了。,5,2018-03-14
课程很好，带来了启发,5,2018-03-15
很喜欢现在的课程，另老师的声音好听,5,2018-03-14
摩尔定律讲的内容 挺有意思 ，老师分析的不错·！ 厉害~！赞一个,5,2018-03-14
嵩老师的教程真是超级好，那个节奏掌握没有话说，一秒都不多余，好效率，方法也是超级好，打算实践一下,5,2018-03-15
实时性强，随到随学，选择自己喜欢的老师！,5,2018-03-14
学习到了初步的Python知识，继续学，希望学到更多。,5,2018-03-14
这门课基本上就是简单地在课件里罗列了一堆functions和samples,3,2018-02-26
看了视频，觉得用嵩老师教的方法，一定能学好！加油！,5,2018-03-15
非常好的。。,4,2018-03-15
第一次赶上直播，第二次体听课，园林专业生，希望感受真正的理科，哈哈哈哈,5,2018-03-14
666666,5,2018-03-14
没遇上开课，课程结束后跟着课件看的，目前只看了两周，说说想法： 比起上新课感觉更像期末考试前梳理知识点的复习课，“同学们这一部分要考的啊回去好好复习”的那种,3,2018-02-28
